location_id,location_name,country_name,provider_name,owner_name,is_mobile,is_monitor,instrument_name
5619,"Vindhyachal STPS, Singrauli - MPPCB",India,CPCB,Madhya Pradesh Pollution Control Board,False,True,Government Monitor
5621,"Opp GPO Civil Lines, Nagpur - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
5622,"NSIT Dwarka, Delhi - CPCB",India,CPCB,Central Pollution Control Board,False,True,Government Monitor
5623,"Central University, Hyderabad - TSPCB",India,CPCB,Telangana State Pollution Control Board,False,True,Government Monitor
5624,"IDA Pashamylaram, Hyderabad - TSPCB",India,CPCB,Telangana State Pollution Control Board,False,True,Government Monitor
5625,"RIMT University, Mandi Gobindgarh - PPCB",India,CPCB,Punjab Pollution Control Board,False,True,Government Monitor
5626,"DTU, New Delhi - CPCB",India,CPCB,Central Pollution Control Board,False,True,Government Monitor
5627,"CRRI Mathura Road, New Delhi - IMD",India,CPCB,India Meteorological Department,False,True,Government Monitor
5628,"GVM Corporation, Visakhapatnam - APPCB",India,CPCB,Andhra Pradesh Pollution Control Board,False,True,Government Monitor
5630,"Shadipur, Delhi - CPCB",India,CPCB,Central Pollution Control Board,False,True,Government Monitor
5631,"Maninagar, Ahmedabad - GPCB",India,CPCB,Gujarat Pollution Control Board,False,True,Government Monitor
5632,"Sector-D Industrial Area, Mandideep - MPPCB",India,CPCB,Madhya Pradesh Pollution Control Board,False,True,Government Monitor
5633,"Police Commissionerate, Jaipur - RSPCB",India,CPCB,Rajasthan State Pollution Control Board,False,True,Government Monitor
5634,"Lodhi Road, New Delhi - IMD",India,CPCB,India Meteorological Department,False,True,Government Monitor
5635,"Adarsh Nagar, Jaipur - RSPCB",India,CPCB,Rajasthan State Pollution Control Board,False,True,Government Monitor
5636,"Shrinath Puram, Kota - RSPCB",India,CPCB,Rajasthan State Pollution Control Board,False,True,Government Monitor
5638,"Indira Colony Vistar, Pali - RSPCB",India,CPCB,Rajasthan State Pollution Control Board,False,True,Government Monitor
5639,"R K Puram, New Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5641,"Mandir Marg, New Delhi - DPCC",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5642,"More Chowk Waluj, Aurangabad - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
5644,"Sanegurava Halli, Bengaluru - KSPCB",India,CPCB,Karnataka State Pollution Control Board,False,True,Government Monitor
5645,"ICRISAT Patancheru, Hyderabad - TSPCB",India,CPCB,Telangana State Pollution Control Board,False,True,Government Monitor
5646,"Plammoodu, Thiruvananthapuram - Kerala PCB",India,CPCB,Kerala State Pollution Control Board,False,True,Government Monitor
5647,"Sanathnagar, Hyderabad - TSPCB",India,CPCB,Telangana State Pollution Control Board,False,True,Government Monitor
5648,"Ward-32 Bapupara, Siliguri - WBPCB",India,CPCB,West Bengal Pollution Control Board,False,True,Government Monitor
5649,"Tirumala, Tirupati - APPCB",India,CPCB,Andhra Pradesh Pollution Control Board,False,True,Government Monitor
5650,"IGI Airport (T3), Delhi - IMD",India,CPCB,India Meteorological Department,False,True,Government Monitor
5652,"IGSC Planetarium Complex, Patna - BSPCB",India,CPCB,Bihar State Pollution Control Board,False,True,Government Monitor
5655,"Velachery Res. Area, Chennai - CPCB",India,CPCB,Central Pollution Control Board,False,True,Government Monitor
5657,"Central School, Lucknow - CPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5659,"Lalbagh, Lucknow - CPCB",India,CPCB,Central Pollution Control Board,False,True,Government Monitor
5661,"Karve Road Pune, Pune - MPCB",India,CPCB,Maharashtra Pollution Control Board,False,True,Government Monitor
5662,"Nehru Nagar, Kanpur - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
5664,"PWD Grounds, Vijayawada - APPCB",India,caaqm,Unknown Governmental Organization,False,True,Government Monitor
5665,"Vasundhara, Ghaziabad - UPPCB",India,CPCB,Uttar Pradesh Pollution Control Board,False,True,Government Monitor
