ID,Location
6967,"Sion, Mumbai - MPCB"
6968,"Phase-1 GIDC, Vapi - GPCB"
6969,"Huda Sector, Fatehabad - HSPCB"
6970,"Shastri Nagar, Narnaul - HSPCB"
6971,"Rishi Nagar, Kaithal - HSPCB"
6972,"Nathu Colony, Ballabgarh - HSPCB"
6973,"Jayanagar 5th Block, Bengaluru - KSPCB"
6974,"Bapuji Nagar, Bengaluru - KSPCB"
6975,"Silk Board, Bengaluru - KSPCB"
6976,"Jai Bhim Nagar, Meerut - UPPCB"
6978,"Knowledge Park - III, Greater Noida - UPPCB"
6979,"New Collectorate, Baghpat - UPPCB"
6980,"Sector-1, Noida - UPPCB"
6981,"Fort William, Kolkata - WBPCB"
6982,"Deshpande Nagar, Hubballi - KSPCB"
6983,"Hombegowda Nagar, Bengaluru - KSPCB"
6984,"Hebbal, Bengaluru - KSPCB"
6985,"Yamunapuram, Bulandshahr - UPPCB"
6986,"Knowledge Park - V, Greater Noida - UPPCB"
6987,"Vile Parle West, Mumbai - MPCB"
6988,"Sector-116, Noida - UPPCB"
7005,"Loni, Ghaziabad - UPPCB"
7044,"R K Puram, Delhi - DPCC"
7140,"Gomti Nagar, Lucknow - UPPCB"
7280,"Shyam Nagar, Palwal - HSPCB"
7281,"Shyam Nagar, Palwal - HSPCB"
7282,"Sector-7, Kurukshetra - HSPCB"
7283,"MD University, Rohtak - HSPCB"
7289,"Hebbal 1st Stage, Mysuru - KSPCB"
7292,"Chhoti Gwaltoli, Indore - MPPCB"
7299,"Gole Bazar, Katni - MPPCB"
7434,"East Arjun Nagar, Delhi - CPCB"
7494,"SFTI Kusdihra, Gaya - BSPCB"
7495,"DRM Office Danapur, Patna - BSPCB"
7583,"ICRISAT Patancheru, Hyderabad - TSPCB"
7720,"Pallavpuram Phase 2, Meerut - UPPCB"
7752,"Khadakpada, Kalyan - MPCB"
7777,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
7833,"Ganga Nagar, Meerut - UPPCB"
7850,"Bandra, Mumbai - MPCB"
7880,"Sikulpuikawn, Aizawl - Mizoram PCB"
7901,"Corporation Ground, Thrissur- Kerala PCB"
7979,"Deen Dayal Nagar, Sagar - MPPCB"
8035,"Ibrahimpur, Vijayapura - KSPCB"
8039,Mumbai
8092,"East Arjun Nagar, Delhi - CPCB"
8118,New Delhi
8153,"Urban, Chamarajanagar - KSPCB"
8171,"GIDC, Nandesari - Nandesari Ind. Association"
8172,US Diplomatic Post: Kolkata
8190,"Kariavattom, Thiruvananthapuram - Kerala PCB"
8235,"Jahangirpuri, Delhi - DPCC"
8239,"Okhla Phase-2, Delhi - DPCC"
8245,"Gole Bazar, Katni - MPPCB"
8319,"Anand Vihar, Hapur - UPPCB"
8365,"Nehru Nagar, Delhi - DPCC"
8472,"Bawana, Delhi - DPCC"
8475,"Sonia Vihar, Delhi - DPCC"
8557,Hyderabad
8558,Chennai
8914,"SIDCO Kurichi, Coimbatore - TNPCB"
8915,"Wazirpur, Delhi - DPCC"
8916,"Vyttila, Kochi - Kerala PCB"
8917,"Ashok Vihar, Delhi - DPCC"
10484,"Sri Aurobindo Marg, Delhi - DPCC"
10485,"Narela, Delhi - DPCC"
10486,"Mundka, Delhi - DPCC"
10487,"Anand Vihar, Delhi - DPCC"
10488,"Najafgarh, Delhi - DPCC"
10489,"ITO, Delhi - CPCB"
10537,"Vidayagiri, Bagalkot - KSPCB"
10545,"Civil Lines, Ajmer - RSPCB"
10599,"Rajbansi Nagar, Patna - BSPCB"
10609,"Hebbal 1st Stage, Mysuru - KSPCB"
10630,"Govt. High School Shikarpur, Patna - BSPCB"
10633,"Victoria, Kolkata - WBPCB"
10645,"Industrial Area, Hajipur - BSPCB"
10670,"Muradpur, Patna - BSPCB"
10695,"Ratanpura, Rupnagar - Ambuja Cements"
10697,"Samanpura, Patna - BSPCB"
10725,"Mini Secretariat, Charkhi Dadri - HSPCB"
10747,"Thavakkara, Kannur - Kerala PCB"
10780,"Manali Village, Chennai - TNPCB"
10820,"Sector 30, Faridabad - HSPCB"
10823,"Buddha Colony, Muzaffarpur - BSPCB"
10825,"Sector-51, Gurugram - HSPCB"
10831,"Rohini, Delhi - DPCC"
10844,"Ghusuri, Howrah - WBPCB"
10851,"Bidhannagar, Kolkata - WBPCB"
10895,"Lumpyngngad, Shillong - Meghalaya PCB"
10896,"Chhoti Gwaltoli, Indore - MPPCB"
10897,"ICRISAT Patancheru, Hyderabad - TSPCB"
10898,"Palayam, Kozhikode - Kerala PCB"
10900,"Teri Gram, Gurugram - HSPCB"
10901,"PWD Juction, Kohima - NPCB"
10902,"Kalyana Nagara, Chikkamagaluru - KSPCB"
10903,"Railway Colony, Guwahati - APCB"
10904,"Rabindra Sarobar, Kolkata - WBPCB"
10905,"Rishi Nagar, Kaithal - HSPCB"
10906,"Murthal, Sonipat - HSPCB"
10907,"City Center, Gwalior - MPPCB"
10908,"Sector 11, Faridabad - HSPCB"
10909,"Vijay Nagar, Ramanagara - KSPCB"
10910,"Sector-12, Karnal - HSPCB"
10911,"Marhatal, Jabalpur - MPPCB"
10912,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10913,"T T Nagar, Bhopal - MPPCB"
10914,"Sector-25, Chandigarh - CPCC"
10915,"Polayathode, Kollam - Kerala PCB"
10916,"Kacheripady, Ernakulam - Kerala PCB"
10917,"Sahilara, Maihar - KJS Cements"
10918,"Ballygunge, Kolkata - WBPCB"
10919,"Sanjay Nagar, Ghaziabad - UPPCB"
10920,"New Industrial Town, Faridabad - HSPCB"
10921,"NISE Gwal Pahari, Gurugram - IMD"
11577,"Vinoba Nagara, Shivamogga - KSPCB"
11578,"Royapuram, Chennai - TNPCB"
11579,"Kodungaiyur, Chennai - TNPCB"
11580,"Meelavittan, Thoothukudi - TNPCB"
11581,"Arumbakkam, Chennai - TNPCB"
11582,"Stuart Hill, Madikeri - KSPCB"
11583,"Kunjaban, Agartala - Tripura SPCB"
11602,"Bandra Kurla Complex, Mumbai - IITM"
11603,"Chandni Chowk, Delhi - IITM"
11604,"Deonar, Mumbai - IITM"
11606,"Borivali East, Mumbai - IITM"
11607,"Lodhi Road, Delhi - IITM"
11608,"Bhosari, Pune - IITM"
11609,"Mhada Colony, Pune - IITM"
11610,"Transport Nagar-Nigdi, Pune - IITM"
11611,"Malad West, Mumbai - IITM"
11612,"Sector-19A Nerul, Navi Mumbai - IITM"
11613,"Revenue Colony-Shivajinagar, Pune - IITM"
12024,"Chakala-Andheri East, Mumbai - IITM"
12039,"Khindipada-Bhandup West, Mumbai - IITM"
12040,"Mulund West, Mumbai - MPCB"
12041,"Diwator Nagar, Koppal - KSPCB"
12042,"Alandi, Pune - IITM"
12043,"Haji Colony, Raichur - KSPCB"
12044,"Kandivali East, Mumbai - MPCB"
12045,"IITK, Kanpur - IITK"
12046,"Perungudi, Chennai - TNPCB"
42240,"Pan Bazaar, Guwahati - APCB"
44513,"Kadri, Mangalore - KSPCB"
44514,"Naubad, Bidar - KSPCB"
44515,"Panchal Nagar, Gadag - KSPCB"
45008,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB"
60656,"Tamaka Ind. Area, Kolar - KSPCB"
60657,"Devaraj Urs Badavane, Davanagere - KSPCB"
60658,"Hadapsar, Pune - IITM"
60659,"Jawahar Nagar, Puducherry - PPCC"
60660,"MIT-Kothrud, Pune - IITM"
60661,"Siddharth Nagar-Worli, Mumbai - IITM"
220265,"Rajbagh, Srinagar - JKSPCB"
220353,"Brahmagiri, Udupi - KSPCB"
223145,"B.Katihalli, Hassan - KSPCB"
223146,"Naharlagun, Naharlagun - APSPCB"
227384,"Jhunsi, Prayagraj - UPPCB"
227386,"B R Ambedkar University, Lucknow - UPPCB"
227387,"Motilal Nehru NIT, Prayagraj - UPPCB"
227533,"Rakhial, Ahmedabad - IITM"
227534,"Gyaspur, Ahmedabad - IITM"
227535,"Manoharpur, Agra - UPPCB"
227536,"Chandkheda, Ahmedabad - IITM"
227931,"Sector-3B Avas Vikas Colony, Agra - UPPCB"
228297,"SVPI Airport Hansol, Ahmedabad - IITM"
228298,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM"
228299,"GIFT City, Gandhinagar - IITM"
228300,"SAC ISRO Satellite, Ahmedabad - IITM"
228301,"IIPHG Lekawada, Gandhinagar - IITM"
228303,"SAC ISRO Bopal, Ahmedabad - IITM"
228352,"Shastripuram, Agra - UPPCB"
228397,"IESD Banaras Hindu University, Varanasi - UPPCB"
228403,"Bhelupur, Varanasi - UPPCB"
228840,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB"
229195,"Maldahiya, Varanasi - UPPCB"
229252,"NSI Kalyanpur, Kanpur - UPPCB"
229404,"Kukrail Picnic Spot-1, Lucknow - UPPCB"
229473,blore_India_07_14_official
229728,"Kamalnath Nagar, Bettiah - BSPCB"
229729,"Nagla Bhau, Firozabad - UPPCB"
229730,"Town Hall - Lal Bagh, Darbhanga - BSPCB"
229731,"Gandak Colony, Motihari - BSPCB"
229985,"D M Colony, Bihar Sharif - BSPCB"
229987,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB"
233414,"Omex Eternity, Vrindavan - UPPCB"
233415,"Sector 22, Chandigarh - CPCC"
233416,"Nagar Nigam, Prayagraj - UPPCB"
234568,"FTI Kidwai Nagar, Kanpur - UPPCB"
234997,"Dharmapuri, Agra - UPPCB"
236406,"Mangala, Bilaspur - CECB"
270697,"Employment Office, Moradabad - UPPCB"
270703,"Dada Peer, Sasaram - BSPCB"
270704,"Town Hall, Munger - BSPCB"
270708,"Civic Center, Bhilai - Bhilai Steel Plant"
270720,"Mirchaibari, Katihar - BSPCB"
270721,"Mayaganj, Bhagalpur - BSPCB"
270722,"Central Jail, Buxar - BSPCB"
270723,"DM Office_Kachari Chowk, Bhagalpur - BSPCB"
270724,"Kareemganj, Gaya - BSPCB"
270725,"Mariam Nagar, Purnia - BSPCB"
270726,"Chitragupta Nagar, Siwan - BSPCB"
270727,"SDM Office_Khagra, Kishanganj - BSPCB"
270728,"Police Line, Saharsa - BSPCB"
270729,"Darshan Nagar, Chhapra - BSPCB"
270730,"Dangi Tola, Rajgir - BSPCB"
270737,"Forest Rest House, Manguraha - BSPCB"
270771,"Buddhi Vihar, Moradabad - UPPCB"
270774,"New DM Office, Arrah - BSPCB"
270775,"Kharahiya Basti, Araria - BSPCB"
270777,"Jigar Colony, Moradabad - UPPCB"
270877,"Eco Herbal Park, Moradabad - UPPCB"
278159,"Rohta, Agra - UPPCB"
278418,"Sector-53, Chandigarh - CPCC"
278671,"Shivaji Nagar, Jhansi - UPPCB"
301387,"Raikhad, Ahmedabad - IITM"
301388,"Sardar Patel Inter College, Baghpat - UPPCB"
301389,"HIMUDA Complex Phase-1, Baddi - HPPCB"
301390,"Bardowali, Agartala - Tripura SPCB"
301391,"DM Office_Kasipur, Samastipur - BSPCB"
301670,"Collector Office, Yadgir - KSPCB"
304956,"Gurdeo Nagar, Aurangabad - BSPCB"
306252,"DRCC Anandpur, Begusarai - BSPCB"
307463,"Zero Point GICI, Gangtok - SSPCB"
309803,"Ashwini Nagar, Haveri - KSPCB"
313410,"DM College of Science, Imphal - Manipur PCB"
313411,"JN Stadium, Shillong - Meghalaya PCB"
313923,"Manipur University, Imphal - Manipur PCB"
317035,"Doon University, Dehradun - UKPCB"
330021,"Vibhab Nagar, Firozabad - UPPCB"
344103,"ECIL Kapra, Hyderabad - TSPCB"
344104,"Kompally Municipal Office, Hyderabad - TSPCB"
344140,"Somajiguda, Hyderabad - TSPCB"
344142,"Nacharam_TSIIC IALA, Hyderabad - TSPCB"
344144,"IITH Kandi, Hyderabad - TSPCB"
346257,"Ramachandrapuram, Hyderabad - TSPCB"
346258,"Kokapet, Hyderabad - TSPCB"
346438,"Rajendra Nagar, Bareilly - UPPCB"
346439,"Kalindi Kunj, Khurja - UPPCB"
352465,"New Malakpet, Hyderabad - TSPCB"
352777,"Kashiram Nagar, Moradabad - UPPCB"
353715,"Transport Nagar, Moradabad - UPPCB"
358448,"Kumaran College, Tirupur - TNPCB"
358450,"Bombay Castel, Ooty - TNPCB"
358451,"Vasanthapuram, Vellore - TNPCB"
358452,"Chalai Bazaar, Ramanathapuram - TNPCB"
358453,"Mendonsa Colony, Dindigul - TNPCB"
358454,"SIPCOT Phase-1, Hosur - TNPCB"
358455,"Sona College of Technology, Salem - TNPCB"
358456,"Gulzarpet, Anantapur - APPCB"
358457,"PSG College of Arts and Science, Coimbatore - TNPCB"
358467,"Civil Lines, Bareilly - UPPCB"
358627,"Crescent University, Chengalpattu - TNPCB"
358665,"Ramteerth Nagar, Belgaum - KSPCB"
361378,"Paryavaran Parisar, Bhopal - MPPCB"
361411,"IITG, Guwahati - PCBA"
363601,"Girls College, Sivasagar - PCBA"
1236037,Dhopagachi
1285345,SPARTAN - IIT Kanpur
2498781,SiriJaya
2860223,GK1 (Oberoi Terrace)
3024966,NASA GSFC Rutgers Calib. N8
3174188,Malav
3174189,Bicholi Hapsi
3174190,Musakhedi
3409317,"Chauhan Colony, Chandrapur - MPCB"
3409318,"Central School, Lucknow - CPCB"
3409319,"Alandur Bus Depot, Chennai - CPCB"
3409320,"Rabindra Bharati University, Kolkata - WBPCB"
3409321,Haldia - WBSPCB
